Species	Subset	pi_i (weight)	alpha_i (exponent)	beta_i (scaling_factor)
Rice	S1	0.0355	6.5502	1802607671344668370380569840713728.0000
Rice	S2	0.6669	0.3076	2417.5400
Rice	S3	0.2976	3.2924	917225561746776915968.0000
