Species	Subset	pi_i (weight)	alpha_i (exponent)	beta_i (scaling_factor)
Soybean	S1	0.0347	7.1609	1883343848857651071574267592641085440.0000
Soybean	S2	0.7430	0.3072	3976.9673
Soybean	S3	0.2222	3.9098	21111441395869171090194432.0000
